2.8752,27,32,2,2,18,34,0,18,33,15,22,20,1,3,3,18,20,11,2,21,24,42,,,,,,,
2.9369,25,33,2,3,17,33,22,25,27,15,23,25,1,1,12,15,16,10,1,20,23,40,,,,,,,
2.9984,25,32,1,3,18,41,20,22,30,15,21,20,1,3,9,22,21,10,2,22,24,40,,,,,,,
3.0637,25,33,2,3,15,40,34,25,33,15,23,28,0,4,1,18,26,11,2,18,27,34,,,,,,,
3.1253,28,29,2,2,17,43,20,19,28,16,21,20,1,3,3,21,19,11,2,23,27,37,,,,,,,
3.1868,24,26,2,2,16,37,31,25,32,15,23,16,1,4,9,19,14,10,1,22,24,38,,,,,,,
3.252,25,32,2,3,18,31,13,24,29,17,20,25,1,0,5,20,21,11,2,22,24,45,,,,,,,
3.3139,27,25,2,3,18,46,36,26,32,15,21,23,0,4,9,18,21,12,2,18,26,38,,,,,,,
3.3752,28,29,2,3,16,33,19,23,43,14,22,22,1,2,4,22,21,11,2,21,27,37,,,,,,,
3.4367,22,30,2,3,18,36,36,23,32,17,20,15,1,3,6,15,15,12,1,20,25,41,,,,,,,
3.502,26,29,2,3,17,38,21,24,35,18,17,26,1,0,5,22,16,10,2,17,23,42,,,,,,,
3.5636,20,32,1,3,16,39,32,25,29,17,17,23,0,5,9,16,17,10,2,20,27,38,,,,,,,
3.6251,30,28,2,3,16,37,12,24,30,13,21,25,1,1,5,22,20,12,2,20,25,38,,,,,,,
3.6903,28,30,2,3,18,37,36,23,36,15,18,19,1,1,7,15,25,12,1,21,27,41,,,,,,,
3.7519,23,28,1,3,16,39,12,24,32,15,21,22,1,0,5,20,11,11,1,19,22,37,,,,,,,
3.8137,25,32,1,3,18,36,33,23,31,17,20,20,1,1,9,16,14,11,2,21,24,42,,,,,,,
3.8787,25,36,2,3,19,35,23,22,29,15,21,27,1,1,5,19,17,11,2,22,24,38,,,,,,,
3.9404,28,28,2,3,16,46,25,21,28,16,17,23,1,4,11,17,13,11,2,21,27,39,,,,,,,
4.0019,24,29,2,2,16,32,8,21,34,15,23,24,1,2,2,17,10,11,1,19,26,37,,,,,,,
4.0633,28,32,2,3,18,43,18,22,22,16,21,21,1,6,6,16,20,12,1,22,25,41,,,,,,,
4.1291,23,31,2,3,15,32,27,25,33,15,20,26,1,0,9,17,12,9,2,19,24,41,,,,,,,
4.1904,28,30,2,3,16,40,22,25,22,15,21,19,0,4,4,19,21,10,2,17,27,39,,,,,,,
4.2518,27,33,2,3,19,37,34,22,30,13,21,28,1,4,7,17,14,13,2,18,25,38,,,,,,,
4.317,28,31,2,2,18,38,30,18,30,14,18,23,1,3,6,22,17,12,2,22,24,43,,,,,,,
4.3786,28,28,1,3,17,39,41,25,33,15,20,27,1,2,9,14,16,13,2,14,24,37,,,,,,,
4.4402,27,31,1,3,15,37,16,23,28,17,19,21,0,1,5,20,23,11,2,19,27,37,,,,,,,
4.5054,27,30,2,3,15,45,34,21,33,16,21,21,0,1,8,14,17,11,2,16,29,38,,,,,,,
