5.3861,3,6,0,1,36,0,13,6,22,17,10,17,38,10,12,12,45,55,0,18,13,15,,,
5.4513,3,5,0,1,32,0,14,10,12,11,10,26,52,6,14,17,28,50,0,9,13,20,,,
5.5128,2,6,1,0,28,0,12,9,13,14,11,3,35,9,21,15,47,54,6,15,11,18,,,
5.5745,3,1,1,0,29,1,9,11,13,14,13,16,20,5,6,17,46,44,6,18,13,14,,,
5.6399,3,5,1,1,27,1,15,8,10,13,12,18,44,10,20,18,43,30,9,13,13,17,,,
5.7016,3,6,0,1,33,1,14,10,14,11,12,4,39,6,6,20,42,56,2,19,13,17,,,
5.7669,3,6,0,1,40,0,14,12,19,13,12,29,48,4,13,17,33,54,4,9,13,17,,,
5.8286,2,5,1,1,33,0,12,13,17,15,12,14,23,5,22,13,50,55,4,18,11,15,,,
5.8937,2,7,1,0,32,1,13,11,10,12,9,13,27,6,9,15,27,39,12,22,11,17,,,
5.9558,3,5,1,1,37,1,13,11,20,15,13,28,43,10,22,18,40,47,2,2,13,18,,,
6.0207,3,5,1,1,32,1,12,11,20,11,13,17,34,8,12,16,35,54,5,17,13,18,,,
6.0824,3,4,1,1,29,1,14,9,19,10,13,23,50,6,12,14,47,48,10,24,13,19,,,
6.1476,3,6,1,1,29,1,14,10,18,11,12,16,33,7,17,18,40,57,7,8,13,18,,,
6.2093,3,8,1,1,32,0,14,10,21,14,13,4,35,5,12,12,35,46,5,18,13,18,,,
6.2746,3,6,1,0,32,1,15,9,20,12,10,27,41,11,21,16,43,55,0,13,11,20,,,
6.3362,3,6,1,0,35,0,12,12,18,16,11,5,31,3,11,13,41,51,6,20,11,17,,,
6.4015,2,4,1,1,35,1,10,12,9,13,12,23,49,10,18,15,42,49,10,9,11,16,,,
6.463,3,5,1,1,30,1,10,7,11,13,16,0,35,10,17,18,42,56,11,5,13,15,,,
6.5245,3,6,1,1,27,1,14,9,12,9,10,10,21,9,17,16,36,50,8,16,13,14,,,
6.5899,3,7,0,1,29,0,15,8,10,15,8,26,45,10,23,17,44,46,10,8,13,15,,,
6.6515,2,6,1,0,32,0,13,8,8,13,13,16,37,3,5,12,46,52,7,16,11,17,,,
6.717,3,3,1,1,30,1,13,11,11,11,12,19,54,8,6,18,35,52,8,0,13,19,,,
6.7787,3,5,1,1,32,1,15,10,15,12,12,15,29,4,19,14,49,50,13,21,13,15,,,
6.844,3,7,1,1,27,1,14,10,20,12,12,11,34,8,2,17,40,51,10,20,13,15,,,
6.9056,3,5,0,1,33,0,14,8,21,13,12,27,45,7,18,18,33,55,5,16,13,17,,,
6.9708,3,6,0,1,34,1,14,12,23,14,11,16,25,10,13,14,46,57,9,18,13,17,,,
7.0324,2,7,1,1,27,0,13,12,19,15,10,24,50,8,10,18,33,52,8,29,11,17,,,
7.0979,2,6,1,0,30,0,15,10,12,14,10,15,27,8,22,11,46,55,10,16,11,16,,,
7.1595,2,6,1,0,31,1,12,12,16,12,11,21,32,9,11,14,39,46,13,24,12,19,,,
7.2247,3,7,1,0,38,1,7,11,16,17,13,26,45,11,21,14,39,51,11,17,11,21,,,
7.2866,3,6,1,0,35,1,11,8,18,17,15,0,29,7,19,15,45,54,6,21,11,17,,,
7.3516,3,3,1,1,36,1,12,12,19,10,12,21,53,8,10,16,32,49,9,15,13,12,,,
7.4133,3,6,1,1,26,1,13,8,14,11,12,10,21,10,18,17,41,57,13,23,13,15,,,
7.4747,3,4,1,1,27,1,13,9,12,11,12,0,29,8,14,13,29,49,8,21,13,14,,,
7.5402,3,7,0,1,26,1,11,9,10,12,13,31,42,8,19,15,38,47,7,7,11,20,,,
7.6017,2,6,1,0,38,1,11,12,18,17,14,23,30,6,12,14,43,55,6,18,11,17,,,
7.6679,3,4,1,1,30,1,12,12,16,12,12,29,50,11,8,16,35,51,11,17,13,15,,,
7.7289,3,5,1,1,30,1,10,8,12,11,12,12,29,8,17,17,41,59,12,10,13,17,,,
7.7941,3,6,1,1,25,1,14,8,11,11,12,19,28,10,7,17,31,45,11,23,13,15,,,
7.8558,3,5,0,1,27,1,14,9,21,19,13,33,42,8,20,16,36,54,5,13,13,17,,,
7.9211,3,6,0,1,38,0,14,8,10,11,11,24,35,9,16,14,44,59,10,21,13,18,,,
7.9824,2,5,0,1,33,0,12,12,19,13,12,30,47,6,9,17,40,49,10,7,9,16,,,
8.0478,2,6,1,1,25,1,10,11,13,18,9,23,23,9,20,11,45,54,12,22,11,16,,,
